datum,monat,wochentag,feiertag,arbeitstag
2015-12-11,Dezember,Freitag,,1
2015-12-12,Dezember,Samstag,,0
2015-12-13,Dezember,Sonntag,,0
2015-12-14,Dezember,Montag,,1
2015-12-15,Dezember,Dienstag,,1
2015-12-16,Dezember,Mittwoch,,1
2015-12-17,Dezember,Donnerstag,,1
2015-12-18,Dezember,Freitag,,1
2015-12-19,Dezember,Samstag,,0
2015-12-20,Dezember,Sonntag,,0
2015-12-21,Dezember,Montag,,1
2015-12-22,Dezember,Dienstag,,1
2015-12-23,Dezember,Mittwoch,,1
2015-12-24,Dezember,Donnerstag,,1
2015-12-25,Dezember,Freitag,Erster Weihnachtsfeiertag,0
2015-12-26,Dezember,Samstag,Zweiter Weihnachtsfeiertag,0
2015-12-27,Dezember,Sonntag,,0
2015-12-28,Dezember,Montag,,1
2015-12-29,Dezember,Dienstag,,1
2015-12-30,Dezember,Mittwoch,,1
2015-12-31,Dezember,Donnerstag,,1
2016-01-01,Januar,Freitag,Neujahr,0
2016-01-02,Januar,Samstag,,0
2016-01-03,Januar,Sonntag,,0
2016-01-04,Januar,Montag,,1
2016-01-05,Januar,Dienstag,,1
2016-01-06,Januar,Mittwoch,Heilige Drei Koenige,0
2016-01-07,Januar,Donnerstag,,1
2016-01-08,Januar,Freitag,,1
2016-01-09,Januar,Samstag,,0
2016-01-10,Januar,Sonntag,,0
2016-01-11,Januar,Montag,,1
2016-01-12,Januar,Dienstag,,1
2016-01-13,Januar,Mittwoch,,1
2016-01-14,Januar,Donnerstag,,1
2016-01-15,Januar,Freitag,,1
2016-01-16,Januar,Samstag,,0
2016-01-17,Januar,Sonntag,,0
2016-01-18,Januar,Montag,,1
2016-01-19,Januar,Dienstag,,1
2016-01-20,Januar,Mittwoch,,1
2016-01-21,Januar,Donnerstag,,1
2016-01-22,Januar,Freitag,,1
2016-01-23,Januar,Samstag,,0
2016-01-24,Januar,Sonntag,,0
2016-01-25,Januar,Montag,,1
2016-01-26,Januar,Dienstag,,1
2016-01-27,Januar,Mittwoch,,1
2016-01-28,Januar,Donnerstag,,1
2016-01-29,Januar,Freitag,,1
2016-01-30,Januar,Samstag,,0
2016-01-31,Januar,Sonntag,,0
2016-02-01,Februar,Montag,,1
2016-02-02,Februar,Dienstag,,1
2016-02-03,Februar,Mittwoch,,1
2016-02-04,Februar,Donnerstag,,1
2016-02-05,Februar,Freitag,,1
2016-02-06,Februar,Samstag,,0
2016-02-07,Februar,Sonntag,,0
2016-02-08,Februar,Montag,,1
2016-02-09,Februar,Dienstag,,1
2016-02-10,Februar,Mittwoch,,1
2016-02-11,Februar,Donnerstag,,1
2016-02-12,Februar,Freitag,,1
2016-02-13,Februar,Samstag,,0
2016-02-14,Februar,Sonntag,,0
2016-02-15,Februar,Montag,,1
2016-02-16,Februar,Dienstag,,1
2016-02-17,Februar,Mittwoch,,1
2016-02-18,Februar,Donnerstag,,1
2016-02-19,Februar,Freitag,,1
2016-02-20,Februar,Samstag,,0
2016-02-21,Februar,Sonntag,,0
2016-02-22,Februar,Montag,,1
2016-02-23,Februar,Dienstag,,1
2016-02-24,Februar,Mittwoch,,1
2016-02-25,Februar,Donnerstag,,1
2016-02-26,Februar,Freitag,,1
2016-02-27,Februar,Samstag,,0
2016-02-28,Februar,Sonntag,,0
2016-02-29,Februar,Montag,,1
2016-03-01,Maerz,Dienstag,,1
2016-03-02,Maerz,Mittwoch,,1
2016-03-03,Maerz,Donnerstag,,1
2016-03-04,Maerz,Freitag,,1
2016-03-05,Maerz,Samstag,,0
2016-03-06,Maerz,Sonntag,,0
2016-03-07,Maerz,Montag,,1
2016-03-08,Maerz,Dienstag,,1
2016-03-09,Maerz,Mittwoch,,1
