datum,verbrauch,wochentag,feiertag,arbeitstag
2015-11-21,154389,Samstag,,0
2015-11-22,141290,Sonntag,,0
2015-11-23,196765,Montag,,1
2015-11-24,204946,Dienstag,,1
2015-11-25,204388,Mittwoch,,1
2015-11-26,202442,Donnerstag,,1
2015-11-27,199905,Freitag,,1
2015-11-28,164428,Samstag,,0
2015-11-29,146421,Sonntag,,0
2015-11-30,195670,Montag,,1
2015-12-01,201393,Dienstag,,1
2015-12-02,199765,Mittwoch,,1
2015-12-03,199652,Donnerstag,,1
2015-12-04,197671,Freitag,,1
2015-12-05,156059,Samstag,,0
2015-12-06,139060,Sonntag,,0
2015-12-07,193136,Montag,,1
2015-12-08,203358,Dienstag,,1
2015-12-09,202303,Mittwoch,,1
2015-12-10,205728,Donnerstag,,1
2015-12-11,196854,Freitag,,1
2015-12-12,155050,Samstag,,0
2015-12-13,140974,Sonntag,,0
2015-12-14,195912,Montag,,1
2015-12-15,199737,Dienstag,,1
2015-12-16,198947,Mittwoch,,1
2015-12-17,188110,Donnerstag,,1
2015-12-18,180155,Freitag,,1
2015-12-19,145909,Samstag,,0
2015-12-20,131500,Sonntag,,0
2015-12-21,169582,Montag,,1
2015-12-22,164036,Dienstag,,1
2015-12-23,153224,Mittwoch,,1
2015-12-24,122319,Donnerstag,,1
2015-12-25,108698,Freitag,Erster Weihnachtsfeiertag,0
2015-12-26,111921,Samstag,Zweiter Weihnachtsfeiertag,0
2015-12-27,114963,Sonntag,,0
2015-12-28,140051,Montag,,1
2015-12-29,144444,Dienstag,,1
2015-12-30,142279,Mittwoch,,1
2015-12-31,129888,Donnerstag,,1
2016-01-01,115262,Freitag,Neujahr,0
2016-01-02,126973,Samstag,,0
2016-01-03,119069,Sonntag,,0
2016-01-04,151814,Montag,,1
2016-01-05,155627,Dienstag,,1
2016-01-06,129380,Mittwoch,Heilige Drei Koenige,0
2016-01-07,166888,Donnerstag,,1
2016-01-08,170204,Freitag,,1
2016-01-09,142917,Samstag,,0
2016-01-10,127394,Sonntag,,0
2016-01-11,183864,Montag,,1
2016-01-12,192538,Dienstag,,1
2016-01-13,198704,Mittwoch,,1
2016-01-14,197498,Donnerstag,,1
2016-01-15,197214,Freitag,,1
2016-01-16,160891,Samstag,,0
2016-01-17,146484,Sonntag,,0
2016-01-18,204102,Montag,,1
2016-01-19,212095,Dienstag,,1
2016-01-20,209692,Mittwoch,,1
2016-01-21,205945,Donnerstag,,1
2016-01-22,206188,Freitag,,1
2016-01-23,163609,Samstag,,0
2016-01-24,142203,Sonntag,,0
2016-01-25,193113,Montag,,1
2016-01-26,195376,Dienstag,,1
2016-01-27,194638,Mittwoch,,1
2016-01-28,195234,Donnerstag,,1
2016-01-29,186602,Freitag,,1
2016-01-30,152946,Samstag,,0
2016-01-31,137305,Sonntag,,0
2016-02-01,188437,Montag,,1
2016-02-02,192398,Dienstag,,1
2016-02-03,201405,Mittwoch,,1
2016-02-04,197973,Donnerstag,,1
2016-02-05,190310,Freitag,,1
2016-02-06,152436,Samstag,,0
2016-02-07,136844,Sonntag,,0
2016-02-08,181030,Montag,,1
2016-02-09,188331,Dienstag,,1
2016-02-10,196260,Mittwoch,,1
2016-02-11,195040,Donnerstag,,1
2016-02-12,190276,Freitag,,1
2016-02-13,152036,Samstag,,0
2016-02-14,134729,Sonntag,,0
2016-02-15,194338,Montag,,1
2016-02-16,201869,Dienstag,,1
2016-02-17,203088,Mittwoch,,1
2016-02-18,195458,Donnerstag,,1
2016-02-19,196714,Freitag,,1
2016-02-20,158608,Samstag,,0
2016-02-21,134497,Sonntag,,0
2016-02-22,184232,Montag,,1
2016-02-23,197372,Dienstag,,1
2016-02-24,197758,Mittwoch,,1
2016-02-25,197360,Donnerstag,,1
2016-02-26,191670,Freitag,,1
2016-02-27,153153,Samstag,,0
2016-02-28,136774,Sonntag,,0
2016-02-29,195230,Montag,,1
2016-03-01,197030,Dienstag,,1
2016-03-02,198469,Mittwoch,,1
2016-03-03,196923,Donnerstag,,1
2016-03-04,193404,Freitag,,1
2016-03-05,155553,Samstag,,0
2016-03-06,138828,Sonntag,,0
2016-03-07,191989,Montag,,1
2016-03-08,200332,Dienstag,,1
2016-03-09,201369,Mittwoch,,1
2016-03-10,192619,Donnerstag,,1
2016-03-11,191458,Freitag,,1
2016-03-12,154468,Samstag,,0
2016-03-13,136727,Sonntag,,0
2016-03-14,189314,Montag,,1
2016-03-15,196664,Dienstag,,1
2016-03-16,195553,Mittwoch,,1
2016-03-17,191223,Donnerstag,,1
2016-03-18,187520,Freitag,,1
2016-03-19,153965,Samstag,,0
2016-03-20,134958,Sonntag,,0
2016-03-21,188329,Montag,,1
2016-03-22,191177,Dienstag,,1
2016-03-23,193142,Mittwoch,,1
2016-03-24,185819,Donnerstag,,1
2016-03-25,138656,Freitag,Karfreitag,0
2016-03-26,132978,Samstag,,0
2016-03-27,111919,Sonntag,,0
2016-03-28,121131,Montag,Ostermontag,0
2016-03-29,176578,Dienstag,,1
