datum,wochentag,feiertag,arbeitstag
2016-04-18,Montag,,1
2016-04-19,Dienstag,,1
2016-04-20,Mittwoch,,1
2016-04-21,Donnerstag,,1
2016-04-22,Freitag,,1
2016-04-23,Samstag,,0
2016-04-24,Sonntag,,0
2016-04-25,Montag,,1
2016-04-26,Dienstag,,1
2016-04-27,Mittwoch,,1
2016-04-28,Donnerstag,,1
2016-04-29,Freitag,,1
2016-04-30,Samstag,,0
2016-05-01,Sonntag,Erster Mai,0
2016-05-02,Montag,,1
2016-05-03,Dienstag,,1
2016-05-04,Mittwoch,,1
2016-05-05,Donnerstag,Christi Himmelfahrt,0
2016-05-06,Freitag,,1
2016-05-07,Samstag,,0
2016-05-08,Sonntag,,0
2016-05-09,Montag,,1
2016-05-10,Dienstag,,1
2016-05-11,Mittwoch,,1
2016-05-12,Donnerstag,,1
2016-05-13,Freitag,,1
2016-05-14,Samstag,,0
2016-05-15,Sonntag,,0
2016-05-16,Montag,Pfingstmontag,0
2016-05-17,Dienstag,,1
2016-05-18,Mittwoch,,1
2016-05-19,Donnerstag,,1
2016-05-20,Freitag,,1
2016-05-21,Samstag,,0
2016-05-22,Sonntag,,0
2016-05-23,Montag,,1
2016-05-24,Dienstag,,1
2016-05-25,Mittwoch,,1
2016-05-26,Donnerstag,Fronleichnam,0
2016-05-27,Freitag,,1
2016-05-28,Samstag,,0
2016-05-29,Sonntag,,0
2016-05-30,Montag,,1
2016-05-31,Dienstag,,1
2016-06-01,Mittwoch,,1
2016-06-02,Donnerstag,,1
2016-06-03,Freitag,,1
2016-06-04,Samstag,,0
2016-06-05,Sonntag,,0
2016-06-06,Montag,,1
2016-06-07,Dienstag,,1
2016-06-08,Mittwoch,,1
2016-06-09,Donnerstag,,1
2016-06-10,Freitag,,1
2016-06-11,Samstag,,0
2016-06-12,Sonntag,,0
2016-06-13,Montag,,1
2016-06-14,Dienstag,,1
2016-06-15,Mittwoch,,1
2016-06-16,Donnerstag,,1
2016-06-17,Freitag,,1
2016-06-18,Samstag,,0
2016-06-19,Sonntag,,0
2016-06-20,Montag,,1
2016-06-21,Dienstag,,1
2016-06-22,Mittwoch,,1
2016-06-23,Donnerstag,,1
2016-06-24,Freitag,,1
2016-06-25,Samstag,,0
2016-06-26,Sonntag,,0
2016-06-27,Montag,,1
2016-06-28,Dienstag,,1
2016-06-29,Mittwoch,,1
2016-06-30,Donnerstag,,1
2016-07-01,Freitag,,1
2016-07-02,Samstag,,0
2016-07-03,Sonntag,,0
2016-07-04,Montag,,1
2016-07-05,Dienstag,,1
2016-07-06,Mittwoch,,1
2016-07-07,Donnerstag,,1
2016-07-08,Freitag,,1
2016-07-09,Samstag,,0
2016-07-10,Sonntag,,0
2016-07-11,Montag,,1
2016-07-12,Dienstag,,1
2016-07-13,Mittwoch,,1
2016-07-14,Donnerstag,,1
2016-07-15,Freitag,,1
2016-07-16,Samstag,,0
2016-07-17,Sonntag,,0
2016-07-18,Montag,,1
2016-07-19,Dienstag,,1
2016-07-20,Mittwoch,,1
2016-07-21,Donnerstag,,1
2016-07-22,Freitag,,1
2016-07-23,Samstag,,0
2016-07-24,Sonntag,,0
2016-07-25,Montag,,1
2016-07-26,Dienstag,,1
2016-07-27,Mittwoch,,1
2016-07-28,Donnerstag,,1
2016-07-29,Freitag,,1
2016-07-30,Samstag,,0
2016-07-31,Sonntag,,0
2016-08-01,Montag,,1
2016-08-02,Dienstag,,1
2016-08-03,Mittwoch,,1
2016-08-04,Donnerstag,,1
2016-08-05,Freitag,,1
2016-08-06,Samstag,,0
2016-08-07,Sonntag,,0
2016-08-08,Montag,,1
2016-08-09,Dienstag,,1
2016-08-10,Mittwoch,,1
2016-08-11,Donnerstag,,1
2016-08-12,Freitag,,1
2016-08-13,Samstag,,0
2016-08-14,Sonntag,,0
2016-08-15,Montag,,1
2016-08-16,Dienstag,,1
2016-08-17,Mittwoch,,1
2016-08-18,Donnerstag,,1
2016-08-19,Freitag,,1
2016-08-20,Samstag,,0
2016-08-21,Sonntag,,0
2016-08-22,Montag,,1
2016-08-23,Dienstag,,1
2016-08-24,Mittwoch,,1
2016-08-25,Donnerstag,,1
2016-08-26,Freitag,,1
2016-08-27,Samstag,,0
2016-08-28,Sonntag,,0
2016-08-29,Montag,,1
2016-08-30,Dienstag,,1
2016-08-31,Mittwoch,,1
2016-09-01,Donnerstag,,1
2016-09-02,Freitag,,1
2016-09-03,Samstag,,0
2016-09-04,Sonntag,,0
2016-09-05,Montag,,1
2016-09-06,Dienstag,,1
2016-09-07,Mittwoch,,1
2016-09-08,Donnerstag,,1
2016-09-09,Freitag,,1
2016-09-10,Samstag,,0
2016-09-11,Sonntag,,0
2016-09-12,Montag,,1
2016-09-13,Dienstag,,1
2016-09-14,Mittwoch,,1
2016-09-15,Donnerstag,,1
2016-09-16,Freitag,,1
2016-09-17,Samstag,,0
2016-09-18,Sonntag,,0
2016-09-19,Montag,,1
2016-09-20,Dienstag,,1
2016-09-21,Mittwoch,,1
2016-09-22,Donnerstag,,1
2016-09-23,Freitag,,1
2016-09-24,Samstag,,0
2016-09-25,Sonntag,,0
2016-09-26,Montag,,1
2016-09-27,Dienstag,,1
2016-09-28,Mittwoch,,1
2016-09-29,Donnerstag,,1
2016-09-30,Freitag,,1
2016-10-01,Samstag,,0
2016-10-02,Sonntag,,0
2016-10-03,Montag,Tag der Deutschen Einheit,0
2016-10-04,Dienstag,,1
2016-10-05,Mittwoch,,1
2016-10-06,Donnerstag,,1
2016-10-07,Freitag,,1
2016-10-08,Samstag,,0
2016-10-09,Sonntag,,0
2016-10-10,Montag,,1
2016-10-11,Dienstag,,1
2016-10-12,Mittwoch,,1
2016-10-13,Donnerstag,,1
2016-10-14,Freitag,,1
2016-10-15,Samstag,,0
2016-10-16,Sonntag,,0
2016-10-17,Montag,,1
2016-10-18,Dienstag,,1
2016-10-19,Mittwoch,,1
2016-10-20,Donnerstag,,1
2016-10-21,Freitag,,1
2016-10-22,Samstag,,0
2016-10-23,Sonntag,,0
2016-10-24,Montag,,1
2016-10-25,Dienstag,,1
2016-10-26,Mittwoch,,1
2016-10-27,Donnerstag,,1
2016-10-28,Freitag,,1
2016-10-29,Samstag,,0
2016-10-30,Sonntag,,0
2016-10-31,Montag,,1
2016-11-01,Dienstag,Allerheiligen,0
